transaction_id,transaction_datetime,customer_id,age,gender,emirate,category,product,quantity,unit_price_aed,total_aed,has_loyalty,offer_applied,points_earned,points_redeemed
TR50041,2025-06-23 19:28:27.701600,CUST1015,43,Male,Dubai,Grocery,Rice 5kg,1,33.15,33.15,True,False,33,0
TR50042,2025-05-09 16:37:54.701600,CUST1128,21,Male,Sharjah,Electronics,Headphones,1,114.57,114.57,False,True,114,0
TR50043,2024-10-27 18:25:49.701600,CUST1256,34,Female,Sharjah,Electronics,Laptop,1,2845.68,2845.68,True,False,2845,0
TR50044,2025-06-21 05:13:20.701600,CUST1181,73,Male,Sharjah,Clothing,Jeans,1,149.99,149.99,True,False,149,0
TR50045,2025-07-30 12:12:10.701600,CUST1290,36,Male,Fujairah,Pharmacy,Vitamins,1,94.3,94.3,True,False,94,0
TR50046,2024-11-29 21:25:36.701600,CUST1152,49,Male,Abu Dhabi,Toys,Action Figure,2,51.16,102.32,False,False,102,0
TR50047,2024-10-13 14:15:12.701600,CUST1287,33,Female,Abu Dhabi,Electronics,Smartphone,1,1191.85,1191.85,True,False,1191,0
TR50048,2025-04-10 15:22:28.701600,CUST1103,64,Male,Dubai,Grocery,Olive Oil 1L,3,44.95,134.85,False,False,134,0
TR50049,2025-01-01 15:44:50.701600,CUST1321,28,Female,Fujairah,Grocery,Olive Oil 1L,1,43.86,43.86,True,False,43,0
TR50050,2025-05-23 09:49:32.701600,CUST1044,64,Male,Abu Dhabi,Grocery,Milk 1L,1,6.26,6.26,False,False,6,0
TR50051,2025-05-09 18:59:31.701600,CUST1275,73,Male,Dubai,Electronics,Smartphone,1,998.14,998.14,True,True,998,0
TR50052,2025-07-23 01:30:53.701600,CUST1235,43,Female,Sharjah,Clothing,Dress,1,182.53,182.53,True,True,182,0
TR50053,2025-02-06 22:52:32.701600,CUST1301,20,Female,Fujairah,Clothing,Jeans,1,142.4,142.4,False,False,142,0
TR50054,2025-04-01 21:47:51.701600,CUST1264,23,Female,Dubai,Electronics,Powerbank,1,80.23,80.23,False,False,80,0
TR50055,2025-08-27 15:15:04.701600,CUST1326,25,Female,Abu Dhabi,Pharmacy,Vitamins,1,98.51,98.51,False,False,98,0
TR50056,2025-08-06 09:33:00.701600,CUST1071,73,Male,Dubai,Clothing,T-Shirt,2,56.89,113.78,True,False,113,0
TR50057,2025-01-06 14:16:05.701600,CUST1186,22,Female,Sharjah,Grocery,Bread,1,3.01,3.01,True,True,3,0
TR50058,2025-06-29 14:52:45.701600,CUST1057,44,Male,Dubai,Grocery,Milk 1L,1,6.12,6.12,False,False,6,0
TR50059,2024-10-12 21:20:05.701600,CUST1220,28,Female,Sharjah,Electronics,Smartphone,1,1132.01,1132.01,True,True,1132,0
TR50060,2024-10-01 07:08:01.701600,CUST1226,44,Female,Ajman,Grocery,Rice 5kg,1,31.98,31.98,False,True,31,0
TR50061,2025-05-09 07:19:22.701600,CUST1340,44,Male,Ajman,Electronics,Laptop,1,2336.2,2336.2,True,True,2336,0
TR50062,2025-06-29 12:55:07.701600,CUST1146,24,Female,Abu Dhabi,Electronics,Laptop,3,2571.06,7713.18,False,True,7713,0
TR50063,2025-06-03 17:56:49.701600,CUST1082,43,Male,Abu Dhabi,Grocery,Olive Oil 1L,1,45.95,45.95,False,False,45,0
TR50064,2025-07-14 07:36:50.701600,CUST1024,21,Male,Dubai,Electronics,Laptop,1,2552.21,2552.21,True,True,2552,0
TR50065,2025-09-16 08:05:43.701600,CUST1339,39,Male,Dubai,Toys,Action Figure,1,43.16,43.16,True,True,43,0
TR50066,2025-06-06 15:43:15.701600,CUST1301,20,Female,Fujairah,Electronics,Laptop,2,2854.89,5709.78,False,False,5709,0
TR50067,2024-11-09 02:04:07.701600,CUST1137,32,Female,Ras Al Khaimah,Pharmacy,Vitamins,1,97.27,97.27,False,False,97,0
TR50068,2025-04-05 11:09:12.701600,CUST1029,24,Male,Dubai,Grocery,Rice 5kg,1,34.96,34.96,True,False,34,0
TR50069,2024-11-09 07:26:12.701600,CUST1384,28,Female,Abu Dhabi,Clothing,Jacket,1,342.58,342.58,True,False,342,0
TR50070,2024-10-13 22:05:08.701600,CUST1071,73,Male,Dubai,Electronics,Headphones,1,126.57,126.57,True,False,126,0
TR50071,2024-11-27 18:43:49.701600,CUST1241,36,Female,Sharjah,Grocery,Bread,2,3.46,6.92,True,True,6,0
TR50072,2025-09-19 20:49:09.701600,CUST1163,18,Female,Dubai,Electronics,Headphones,1,134.37,134.37,True,False,134,0
TR50073,2025-08-09 01:08:24.701600,CUST1285,49,Male,Dubai,Clothing,T-Shirt,1,61.45,61.45,True,False,61,0
TR50074,2025-02-23 00:24:45.701600,CUST1377,59,Male,Abu Dhabi,Home,Bedsheet,1,185.77,185.77,True,False,185,0
TR50075,2025-04-10 16:02:01.701600,CUST1149,62,Male,Dubai,Pharmacy,Vitamins,2,92.37,184.74,True,False,184,0
TR50076,2025-06-12 23:21:32.701600,CUST1029,24,Male,Dubai,Clothing,Dress,1,191.77,191.77,True,True,191,0
TR50077,2024-12-02 21:14:15.701600,CUST1331,64,Female,Dubai,Home,Cookware Set,1,336.03,336.03,True,False,336,0
TR50078,2025-02-06 11:43:28.701600,CUST1282,27,Male,Dubai,Clothing,Dress,1,198.19,198.19,True,False,198,0
TR50079,2025-07-20 10:18:16.701600,CUST1398,57,Female,Sharjah,Grocery,Bread,1,3.37,3.37,False,False,3,0
TR50080,2025-02-22 21:26:02.701600,CUST1355,63,Female,Sharjah,Electronics,Powerbank,1,80.36,80.36,False,False,80,0
TR50081,2025-02-25 09:28:37.701600,CUST1387,40,Male,Abu Dhabi,Clothing,Dress,1,192.13,192.13,True,False,192,0
TR50082,2025-09-06 01:29:06.701600,CUST1338,43,Male,Dubai,Grocery,Olive Oil 1L,1,42.82,42.82,True,False,42,0
TR50083,2025-01-02 13:41:10.701600,CUST1224,53,Male,Fujairah,Home,Bedsheet,1,183.27,183.27,True,False,183,0
TR50084,2025-07-31 18:30:13.701600,CUST1385,69,Female,Fujairah,Home,Cookware Set,1,362.23,362.23,False,False,362,0
TR50085,2025-09-27 18:41:04.701600,CUST1040,22,Male,Abu Dhabi,Grocery,Rice 5kg,1,35.47,35.47,True,False,35,0
TR50086,2025-04-11 12:25:38.701600,CUST1014,54,Male,Ajman,Clothing,T-Shirt,2,60.34,120.68,False,False,120,0
TR50087,2025-02-04 07:38:29.701600,CUST1355,63,Female,Sharjah,Electronics,Smartphone,1,1210.21,1210.21,False,False,1210,0
TR50088,2025-04-24 08:10:19.701600,CUST1395,67,Female,Ras Al Khaimah,Grocery,Bread,1,3.16,3.16,True,False,3,0
TR50089,2024-12-22 09:05:31.701600,CUST1189,26,Male,Ajman,Home,Bedsheet,1,173.48,173.48,True,False,173,0
TR50090,2024-11-23 00:23:25.701600,CUST1053,69,Female,Ras Al Khaimah,Home,Cookware Set,1,336.99,336.99,False,False,336,0
TR50091,2025-09-28 12:24:17.701600,CUST1211,63,Female,Umm Al Quwain,Grocery,Bread,1,3.6,3.6,True,False,3,0
TR50092,2025-04-17 21:40:31.701600,CUST1345,69,Female,Ras Al Khaimah,Clothing,Jeans,1,153.77,153.77,False,False,153,0
TR50093,2025-07-21 09:51:03.701600,CUST1274,41,Male,Umm Al Quwain,Electronics,Powerbank,1,79.45,79.45,False,False,79,0
TR50094,2024-11-19 19:37:33.701600,CUST1207,38,Female,Ajman,Grocery,Rice 5kg,1,34.13,34.13,False,False,34,0
TR50095,2025-07-06 10:06:15.701600,CUST1027,68,Male,Dubai,Grocery,Bread,1,3.47,3.47,False,False,3,0
TR50096,2024-12-17 14:20:13.701600,CUST1216,21,Male,Dubai,Home,Bedsheet,3,172.74,518.22,False,True,518,0
TR50097,2025-08-01 13:58:35.701600,CUST1307,64,Male,Sharjah,Home,Cookware Set,1,344.59,344.59,True,False,344,0
TR50098,2025-06-01 06:12:32.701600,CUST1282,27,Male,Dubai,Pharmacy,Vitamins,1,93.22,93.22,True,True,93,0
TR50099,2025-03-29 18:23:32.701600,CUST1252,51,Female,Fujairah,Toys,Action Figure,2,50.52,101.04,True,False,101,0
TR50100,2025-03-04 10:05:00.701600,CUST1392,46,Male,Dubai,Clothing,Dress,1,204.02,204.02,False,False,204,0
TR50101,2025-04-03 23:59:02.701600,CUST1363,60,Female,Sharjah,Grocery,Bread,1,3.33,3.33,False,False,3,0
TR50102,2025-06-07 18:17:23.701600,CUST1166,40,Male,Sharjah,Clothing,Jacket,1,312.96,312.96,True,False,312,0
TR50103,2025-06-23 08:48:52.701600,CUST1034,22,Female,Dubai,Electronics,Headphones,1,133.88,133.88,True,False,133,0
TR50104,2025-08-29 04:33:30.701600,CUST1326,25,Female,Abu Dhabi,Electronics,Laptop,1,2559.85,2559.85,False,True,2559,0
TR50105,2025-03-03 02:42:27.701600,CUST1367,67,Female,Dubai,Electronics,Powerbank,1,72.11,72.11,False,True,72,0
TR50106,2025-03-03 23:20:37.701600,CUST1110,52,Male,Dubai,Grocery,Milk 1L,1,5.82,5.82,False,False,5,0
TR50107,2025-07-28 05:44:52.701600,CUST1318,25,Male,Dubai,Grocery,Milk 1L,1,5.72,5.72,True,False,5,0
TR50108,2025-09-13 09:28:38.701600,CUST1027,68,Male,Dubai,Home,Bedsheet,3,160.32,480.96,False,True,480,0
TR50109,2024-11-14 11:09:33.701600,CUST1235,43,Female,Sharjah,Clothing,Jeans,1,146.76,146.76,True,False,146,0
TR50110,2025-08-08 16:18:04.701600,CUST1346,39,Female,Sharjah,Electronics,Laptop,1,2802.69,2802.69,False,False,2802,0
TR50111,2025-07-28 08:25:22.701600,CUST1176,26,Female,Dubai,Pharmacy,Vitamins,1,86.68,86.68,False,True,86,0
TR50112,2025-06-15 11:55:08.701600,CUST1372,25,Male,Sharjah,Electronics,Powerbank,1,69.79,69.79,False,True,69,0
TR50113,2025-05-08 23:24:40.701600,CUST1210,20,Female,Dubai,Grocery,Rice 5kg,1,33.54,33.54,True,False,33,0
TR50114,2024-10-09 23:35:31.701600,CUST1243,36,Male,Dubai,Grocery,Milk 1L,1,6.1,6.1,False,False,6,0
TR50115,2024-12-17 13:05:59.701600,CUST1110,52,Male,Dubai,Home,Bedsheet,1,153.0,153.0,False,True,153,0
TR50116,2025-06-24 15:03:38.701600,CUST1073,68,Female,Dubai,Clothing,Dress,2,185.81,371.62,False,True,371,0
TR50117,2025-03-31 22:55:50.701600,CUST1129,67,Male,Dubai,Clothing,T-Shirt,1,57.64,57.64,True,False,57,0
TR50118,2025-02-20 16:09:09.701600,CUST1215,70,Male,Ras Al Khaimah,Grocery,Rice 5kg,1,32.64,32.64,False,True,32,0
TR50119,2024-12-21 10:47:43.701600,CUST1272,22,Female,Abu Dhabi,Electronics,Headphones,1,124.1,124.1,True,False,124,0
TR50120,2024-12-14 01:29:06.701600,CUST1077,49,Male,Sharjah,Clothing,Jeans,1,145.31,145.31,False,False,145,0
TR50121,2025-06-03 06:20:02.701600,CUST1103,64,Male,Dubai,Electronics,Smartphone,1,1211.51,1211.51,False,False,1211,0
TR50122,2025-05-14 13:36:21.701600,CUST1388,44,Female,Dubai,Electronics,Laptop,1,2750.22,2750.22,True,False,2750,0
TR50123,2025-09-19 07:18:58.701600,CUST1255,25,Female,Dubai,Pharmacy,Vitamins,3,93.03,279.09,True,False,279,0
TR50124,2024-12-23 14:44:50.701600,CUST1244,24,Male,Ras Al Khaimah,Pharmacy,Vitamins,3,93.53,224.47,True,False,280,179
TR50125,2025-04-03 02:21:34.701600,CUST1362,32,Male,Dubai,Clothing,Dress,1,203.2,203.2,False,False,203,0
TR50126,2025-01-13 19:46:22.701600,CUST1227,60,Male,Ajman,Clothing,Jacket,1,329.29,329.29,False,False,329,0
TR50127,2024-12-17 19:42:52.701600,CUST1181,73,Male,Sharjah,Electronics,Powerbank,2,68.85,137.7,True,True,137,0
TR50128,2025-03-28 10:00:05.701600,CUST1019,60,Male,Dubai,Grocery,Rice 5kg,1,34.98,34.98,True,False,34,0
TR50129,2025-01-05 12:02:46.701600,CUST1030,26,Female,Dubai,Pharmacy,Vitamins,1,77.67,77.67,True,True,77,0
TR50130,2025-05-07 06:58:25.701600,CUST1378,59,Female,Sharjah,Home,Bedsheet,1,180.8,180.8,False,False,180,0
TR50131,2025-08-22 19:27:35.701600,CUST1009,23,Female,Abu Dhabi,Clothing,Dress,1,203.91,203.91,True,False,203,0
TR50132,2025-07-08 21:26:12.701600,CUST1035,57,Female,Dubai,Clothing,Jacket,1,330.02,330.02,True,False,330,0
TR50133,2025-08-09 17:45:41.701600,CUST1286,50,Male,Dubai,Clothing,Dress,1,202.14,202.14,True,False,202,0
TR50134,2025-04-21 15:37:50.701600,CUST1031,61,Male,Dubai,Grocery,Milk 1L,1,5.52,5.52,True,True,5,0
TR50135,2025-01-24 11:30:22.701600,CUST1343,46,Male,Dubai,Electronics,Laptop,1,2727.7,2727.7,True,False,2727,0
TR50136,2025-03-01 02:14:42.701600,CUST1273,47,Female,Abu Dhabi,Grocery,Bread,1,3.4,3.4,True,False,3,0
TR50137,2025-09-11 08:31:21.701600,CUST1025,49,Female,Ras Al Khaimah,Home,Bedsheet,1,186.27,186.27,True,False,186,0
TR50138,2025-08-04 02:14:50.701600,CUST1117,64,Male,Fujairah,Grocery,Rice 5kg,1,34.11,34.11,True,False,34,0
TR50139,2025-04-16 21:29:42.701600,CUST1025,49,Female,Ras Al Khaimah,Grocery,Rice 5kg,1,35.58,35.58,True,False,35,0
TR50140,2025-07-30 22:16:45.701600,CUST1065,39,Female,Dubai,Electronics,Laptop,3,2754.68,8264.04,False,False,8264,0
TR50141,2025-05-25 10:54:42.701600,CUST1191,54,Female,Sharjah,Home,Bedsheet,1,175.93,175.93,True,False,175,0
TR50142,2024-12-07 10:30:20.701600,CUST1180,44,Male,Dubai,Electronics,Powerbank,1,74.28,74.28,True,False,74,0
TR50143,2024-11-02 11:15:26.701600,CUST1009,23,Female,Abu Dhabi,Electronics,Powerbank,3,81.07,243.21,True,False,243,0
TR50144,2025-02-02 04:23:58.701600,CUST1382,32,Female,Sharjah,Grocery,Olive Oil 1L,1,46.37,46.37,True,False,46,0
TR50145,2025-03-15 13:29:29.701600,CUST1215,70,Male,Ras Al Khaimah,Home,Cookware Set,1,358.42,358.42,False,False,358,0
TR50146,2024-11-20 04:03:59.701600,CUST1119,26,Female,Abu Dhabi,Electronics,Smartphone,1,1256.69,1256.69,True,False,1256,0
TR50147,2025-07-05 21:47:05.701600,CUST1231,69,Male,Dubai,Clothing,Jacket,1,323.49,323.49,False,False,323,0
TR50148,2024-12-26 12:13:33.701600,CUST1380,57,Male,Fujairah,Grocery,Milk 1L,1,5.87,5.87,True,False,5,0
TR50149,2025-06-08 05:21:42.701600,CUST1139,25,Female,Dubai,Electronics,Powerbank,2,75.84,121.34,True,False,151,165
TR50150,2024-12-20 13:21:54.701600,CUST1257,38,Female,Dubai,Clothing,Jeans,2,141.67,283.34,True,False,283,0
TR50151,2024-11-08 18:26:13.701600,CUST1354,25,Male,Dubai,Clothing,Jeans,1,146.64,146.64,True,False,146,0
TR50152,2025-01-12 06:21:41.701600,CUST1158,61,Male,Abu Dhabi,Grocery,Olive Oil 1L,1,39.94,39.94,True,True,39,0
TR50153,2024-12-17 06:34:24.701600,CUST1041,74,Male,Sharjah,Pharmacy,Vitamins,1,97.33,97.33,True,False,97,0
TR50154,2025-08-31 18:32:41.701600,CUST1280,64,Female,Sharjah,Home,Cookware Set,1,335.86,335.86,True,False,335,0
TR50155,2025-01-23 13:30:18.701600,CUST1353,37,Male,Sharjah,Clothing,Jacket,1,304.94,304.94,True,True,304,0
TR50156,2025-05-19 11:01:55.701600,CUST1238,33,Female,Abu Dhabi,Grocery,Milk 1L,1,6.03,6.03,True,False,6,0
TR50157,2025-01-22 03:08:14.701600,CUST1241,36,Female,Sharjah,Grocery,Milk 1L,3,6.09,18.27,True,False,18,0
TR50158,2025-04-24 01:09:55.701600,CUST1355,63,Female,Sharjah,Grocery,Bread,1,3.34,3.34,False,False,3,0
TR50159,2024-10-10 04:56:43.701600,CUST1127,33,Female,Dubai,Toys,Action Figure,1,48.65,38.92,True,False,48,59
TR50160,2025-03-10 08:29:39.701600,CUST1096,51,Female,Dubai,Electronics,Powerbank,3,78.63,235.89,False,False,235,0
TR50161,2025-03-30 21:46:41.701600,CUST1004,36,Male,Dubai,Clothing,Jacket,1,321.06,321.06,True,False,321,0
TR50162,2025-01-16 17:09:48.701600,CUST1367,67,Female,Dubai,Electronics,Smartphone,1,1203.5,1203.5,False,False,1203,0
TR50163,2024-10-16 13:27:48.701600,CUST1257,38,Female,Dubai,Toys,Action Figure,3,49.51,148.53,True,False,148,0
TR50164,2025-08-03 00:31:38.701600,CUST1145,38,Male,Abu Dhabi,Grocery,Rice 5kg,1,35.27,35.27,False,False,35,0
TR50165,2025-04-29 00:18:57.701600,CUST1147,56,Male,Ras Al Khaimah,Pharmacy,Vitamins,2,99.05,198.1,True,False,198,0
TR50166,2024-11-06 14:19:12.701600,CUST1392,46,Male,Dubai,Pharmacy,Vitamins,1,96.78,96.78,False,False,96,0
TR50167,2025-07-05 14:01:06.701600,CUST1165,51,Female,Dubai,Electronics,Powerbank,1,81.26,81.26,True,False,81,0
TR50168,2025-07-24 00:25:40.701600,CUST1251,48,Male,Dubai,Clothing,T-Shirt,1,57.88,57.88,False,False,57,0
TR50169,2024-10-03 09:44:27.701600,CUST1341,35,Male,Dubai,Home,Bedsheet,1,174.48,174.48,True,False,174,0
TR50170,2025-06-16 02:37:01.701600,CUST1175,72,Male,Dubai,Grocery,Rice 5kg,1,34.85,34.85,True,False,34,0
TR50171,2025-08-18 12:41:44.701600,CUST1395,67,Female,Ras Al Khaimah,Clothing,Dress,1,195.38,195.38,True,False,195,0
TR50172,2025-01-24 17:43:11.701600,CUST1361,35,Female,Abu Dhabi,Grocery,Rice 5kg,1,30.37,30.37,True,True,30,0
TR50173,2024-12-09 00:20:27.701600,CUST1129,67,Male,Dubai,Home,Cookware Set,1,291.45,291.45,True,True,291,0
TR50174,2025-01-30 17:45:25.701600,CUST1309,56,Male,Abu Dhabi,Home,Cookware Set,1,356.7,356.7,True,False,356,0
TR50175,2025-05-13 20:28:10.701600,CUST1398,57,Female,Sharjah,Clothing,Jeans,3,140.25,420.75,False,True,420,0
TR50176,2025-01-10 05:25:39.701600,CUST1065,39,Female,Dubai,Grocery,Rice 5kg,1,36.14,36.14,False,False,36,0
TR50177,2024-12-08 04:03:51.701600,CUST1187,25,Female,Dubai,Electronics,Laptop,1,2844.41,2844.41,False,False,2844,0
TR50178,2025-05-18 05:12:04.701600,CUST1235,43,Female,Sharjah,Electronics,Headphones,1,124.32,124.32,True,False,124,0
TR50179,2025-06-21 01:36:06.701600,CUST1116,39,Female,Dubai,Electronics,Powerbank,1,81.0,81.0,False,False,81,0
TR50180,2024-12-19 07:54:49.701600,CUST1083,53,Male,Abu Dhabi,Clothing,Jeans,1,155.95,155.95,False,False,155,0
TR50181,2024-10-28 21:08:32.701600,CUST1219,60,Female,Abu Dhabi,Home,Bedsheet,1,160.02,160.02,True,True,160,0
TR50182,2024-11-22 08:16:55.701600,CUST1086,20,Female,Sharjah,Home,Cookware Set,3,359.61,1078.83,True,False,1078,0
TR50183,2025-07-27 21:42:23.701600,CUST1332,55,Male,Abu Dhabi,Grocery,Rice 5kg,1,33.83,27.06,True,False,33,112
TR50184,2025-07-24 08:53:16.701600,CUST1314,37,Female,Dubai,Electronics,Headphones,3,131.28,393.84,True,False,393,0
TR50185,2024-11-24 21:40:19.701600,CUST1309,56,Male,Abu Dhabi,Clothing,Jeans,1,136.71,136.71,True,True,136,0
TR50186,2025-01-07 17:07:29.701600,CUST1102,35,Male,Dubai,Clothing,Jacket,1,335.11,335.11,False,False,335,0
TR50187,2025-09-23 12:02:39.701600,CUST1001,69,Female,Abu Dhabi,Electronics,Powerbank,2,76.43,152.86,False,False,152,0
TR50188,2025-07-28 02:23:11.701600,CUST1136,66,Male,Abu Dhabi,Grocery,Rice 5kg,1,33.58,33.58,False,False,33,0
TR50189,2025-05-19 04:45:41.701600,CUST1074,48,Female,Abu Dhabi,Grocery,Rice 5kg,1,36.63,36.63,True,False,36,0
TR50190,2025-07-26 12:22:31.701600,CUST1235,43,Female,Sharjah,Grocery,Bread,1,3.33,3.33,True,True,3,0
TR50191,2025-05-18 11:51:45.701600,CUST1162,25,Female,Dubai,Clothing,T-Shirt,3,59.0,177.0,True,False,177,0
TR50192,2024-11-23 20:32:40.701600,CUST1396,71,Female,Umm Al Quwain,Electronics,Powerbank,2,67.75,135.5,False,True,135,0
TR50193,2024-11-13 03:19:54.701600,CUST1186,22,Female,Sharjah,Electronics,Smartphone,1,1118.62,1118.62,True,False,1118,0
TR50194,2025-04-07 19:11:52.701600,CUST1383,37,Female,Fujairah,Home,Bedsheet,1,175.65,175.65,True,False,175,0
TR50195,2025-03-09 21:03:12.701600,CUST1278,73,Female,Dubai,Clothing,Jacket,2,299.62,599.24,True,True,599,0
TR50196,2025-04-04 06:17:15.701600,CUST1149,62,Male,Dubai,Home,Bedsheet,1,182.63,182.63,True,False,182,0
TR50197,2025-04-03 20:53:27.701600,CUST1290,36,Male,Fujairah,Electronics,Powerbank,1,80.37,80.37,True,False,80,0
TR50198,2025-04-28 02:22:42.701600,CUST1296,34,Female,Dubai,Electronics,Headphones,1,128.26,128.26,True,False,128,0
TR50199,2025-06-15 00:21:16.701600,CUST1321,28,Female,Fujairah,Grocery,Olive Oil 1L,1,44.55,44.55,True,False,44,0
TR50200,2025-04-16 05:24:53.701600,CUST1043,39,Female,Fujairah,Home,Bedsheet,3,148.15,444.45,False,True,444,0
TR50201,2025-09-11 18:36:06.701600,CUST1215,70,Male,Ras Al Khaimah,Clothing,Jacket,1,294.9,294.9,False,True,294,0
TR50202,2025-06-11 20:36:27.701600,CUST1147,56,Male,Ras Al Khaimah,Home,Bedsheet,1,137.85,137.85,True,True,137,0
